roomNumber,bin,room_entry_sequence,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_people,curr_people,lost_update_diff
1181,1,1,yhjj831,,,1,2.0,2,0
1181,1,2,yhjj824,,,2,3.0,3,0
1181,1,3,yhjj856,,,3,4.0,4,0
1181,1,4,yhjj819,,,4,5.0,5,0
1181,1,5,yhjj820,,,5,6.0,6,0
1181,1,6,yhjj887,,,6,7.0,7,0
1181,1,7,yhjj875,,,7,8.0,8,0
1181,1,8,yhjj878,,,8,9.0,9,0
1181,1,9,yhjj879,,,9,10.0,10,0
1181,1,10,yhjj829,,,10,11.0,11,0
1181,1,11,yhjj993,,,11,12.0,12,0
1181,1,12,yhjj832,,,12,13.0,13,0
1181,1,13,yhjj864,,,13,14.0,14,0
1181,1,14,yhjj854,,,14,15.0,15,0
1181,1,15,yhjj846,,,15,16.0,16,0
1181,1,16,yhjj874,,,16,17.0,17,0
1181,1,17,yhjj996,,,17,18.0,18,0
1181,1,18,yhjj869,,,18,19.0,19,0
1181,1,19,yhjj880,,,19,20.0,20,0
1181,1,20,yhjj976,,,20,21.0,21,0
1181,2,21,yhjj821,,,21,22.0,22,0
1181,2,22,yhjj900,,,22,23.0,23,0
1181,2,23,yhjj845,,,23,24.0,24,0
1181,2,24,yhjj838,,,24,25.0,25,0
1181,2,25,yhjj1009,,,25,26.0,26,0
1181,2,26,yhjj833,,,26,27.0,27,0
1181,2,27,yhjj826,,,27,28.0,28,0
1181,2,28,yhjj822,,,28,29.0,29,0
1181,2,29,yhjj1008,,,29,30.0,30,0
1181,2,30,yhjj1011,,,30,31.0,31,0
1181,2,31,yhjj859,,,31,32.0,32,0
1181,2,32,yhjj825,,,32,33.0,33,0
1181,2,33,yhjj932,,,33,34.0,34,0
1181,2,34,yhjj901,,,34,35.0,35,0
1181,2,35,yhjj860,,,35,36.0,36,0
1181,2,36,yhjj861,,,36,37.0,37,0
1181,2,37,yhjj921,,,37,38.0,38,0
1181,2,38,yhjj915,,,38,39.0,39,0
1181,2,39,yhjj823,,,39,40.0,40,0
1181,2,40,yhjj890,,,40,41.0,41,0
1181,3,41,yhjj934,,,41,42.0,42,0
1181,3,42,yhjj830,,,42,43.0,43,0
1181,3,43,yhjj1016,,,43,44.0,44,0
1181,3,44,yhjj892,,,44,45.0,45,0
1181,3,45,yhjj862,,,45,46.0,46,0
1181,3,46,yhjj906,,,46,47.0,47,0
1181,3,47,yhjj844,,,47,48.0,48,0
1181,3,48,yhjj941,,,48,49.0,49,0
1181,3,49,yhjj849,,,49,50.0,50,0
1181,3,50,yhjj918,,,50,51.0,51,0
1181,3,51,yhjj841,,,51,52.0,52,0
1181,3,52,yhjj847,,,52,53.0,53,0
1181,3,53,yhjj902,,,53,54.0,54,0
1181,3,54,yhjj928,,,54,55.0,55,0
1181,3,55,yhjj852,,,55,56.0,56,0
1181,3,56,yhjj873,,,56,57.0,57,0
1181,3,57,yhjj842,,,57,58.0,58,0
1181,3,58,yhjj848,,,58,59.0,59,0
1181,3,59,yhjj885,,,59,60.0,60,0
1181,3,60,yhjj840,,,60,61.0,61,0
1181,4,61,yhjj926,,,61,62.0,62,0
1181,4,62,yhjj837,,,62,63.0,63,0
1181,4,63,yhjj889,,,63,64.0,64,0
1181,4,64,yhjj858,,,64,65.0,65,0
1181,4,65,yhjj827,,,65,66.0,66,0
1181,4,66,yhjj877,,,66,67.0,67,0
1181,4,67,yhjj876,,,67,68.0,68,0
1181,4,68,yhjj835,,,68,69.0,69,0
1181,4,69,yhjj872,,,69,70.0,70,0
1181,4,70,yhjj994,,,70,71.0,71,0
1181,4,71,yhjj857,,,71,72.0,72,0
1181,4,72,yhjj895,,,72,73.0,73,0
1181,4,73,yhjj1005,,,73,74.0,74,0
1181,4,74,yhjj982,,,74,75.0,75,0
1181,4,75,yhjj828,,,75,76.0,76,0
1181,4,76,yhjj923,,,76,77.0,77,0
1181,4,77,yhjj912,,,77,78.0,78,0
1181,4,78,yhjj866,,,78,79.0,79,0
1181,4,79,yhjj834,,,79,80.0,80,0
1181,4,80,yhjj868,,,80,81.0,81,0
1181,5,81,yhjj922,,,81,82.0,82,0
1181,5,82,yhjj904,,,82,83.0,83,0
1181,5,83,yhjj853,,,83,84.0,84,0
1181,5,84,yhjj870,,,84,85.0,85,0
1181,5,85,yhjj919,,,85,86.0,86,0
1181,5,86,yhjj855,,,86,87.0,87,0
1181,5,87,yhjj888,,,87,88.0,88,0
1181,5,88,yhjj886,,,88,89.0,89,0
1181,5,89,yhjj955,,,89,90.0,90,0
1181,5,90,yhjj903,,,90,91.0,91,0
1181,5,91,yhjj881,,,91,92.0,92,0
1181,5,92,yhjj843,,,92,93.0,93,0
1181,5,93,yhjj850,,,93,94.0,94,0
1181,5,94,yhjj963,,,94,95.0,95,0
1181,5,95,yhjj913,,,95,96.0,96,0
1181,5,96,yhjj910,,,96,97.0,97,0
1181,5,97,yhjj916,,,97,98.0,98,0
1181,5,98,yhjj1003,,,98,99.0,99,0
1181,5,99,yhjj883,,,99,100.0,100,0
1181,5,100,yhjj908,,,100,,100,0
1181,6,101,yhjj839,,,100,,100,0
1181,6,102,yhjj961,,,100,,100,0
1181,6,103,yhjj942,,,100,,100,0
1181,6,104,yhjj925,,,100,,100,0
1181,6,105,yhjj970,,,100,,100,0
1181,6,106,yhjj945,,,100,,100,0
1181,6,107,yhjj953,,,100,,100,0
1181,6,108,yhjj946,,,100,,100,0
1181,6,109,yhjj1007,,,100,,100,0
1181,6,110,yhjj959,,,100,,100,0
1181,6,111,yhjj917,,,100,,100,0
1181,6,112,yhjj944,,,100,,100,0
1181,6,113,yhjj1013,,,100,,100,0
1181,6,114,yhjj998,,,100,,100,0
1181,6,115,yhjj930,,,100,,100,0
1181,6,116,yhjj964,,,100,,100,0
1181,6,117,yhjj933,,,100,,100,0
1181,6,118,yhjj992,,,100,,100,0
1181,6,119,yhjj956,,,100,,100,0
1181,6,120,yhjj1004,,,100,,100,0
1181,7,121,yhjj962,,,100,,100,0
1181,7,122,yhjj935,,,100,,100,0
1181,7,123,yhjj894,,,100,,100,0
1181,7,124,yhjj927,,,100,,100,0
1181,7,125,yhjj920,,,100,,100,0
1181,7,126,yhjj960,,,100,,100,0
1181,7,127,yhjj984,,,100,,100,0
1181,7,128,yhjj977,,,100,,100,0
1181,7,129,yhjj865,,,100,,100,0
1181,7,130,yhjj907,,,100,,100,0
1181,7,131,yhjj987,,,100,,100,0
1181,7,132,yhjj871,,,100,,100,0
1181,7,133,yhjj995,,,100,,100,0
1181,7,134,yhjj938,,,100,,100,0
1181,7,135,yhjj975,,,100,,100,0
1181,7,136,yhjj988,,,100,,100,0
1181,7,137,yhjj939,,,100,,100,0
1181,7,138,yhjj943,,,100,,100,0
1181,7,139,yhjj909,,,100,,100,0
1181,7,140,yhjj980,,,100,,100,0
1181,8,141,yhjj999,,,100,,100,0
1181,8,142,yhjj924,,,100,,100,0
1181,8,143,yhjj851,,,100,,100,0
1181,8,144,yhjj1006,,,100,,100,0
1181,8,145,yhjj957,,,100,,100,0
1181,8,146,yhjj973,,,100,,100,0
1181,8,147,yhjj969,,,100,,100,0
1181,8,148,yhjj985,,,100,,100,0
1181,8,149,yhjj897,,,100,,100,0
1181,8,150,yhjj898,,,100,,100,0
1181,8,151,yhjj978,,,100,,100,0
1181,8,152,yhjj958,,,100,,100,0
1181,8,153,yhjj991,,,100,,100,0
1181,8,154,yhjj968,,,100,,100,0
1181,8,155,yhjj1015,,,100,,100,0
1181,8,156,yhjj949,,,100,,100,0
1181,8,157,yhjj979,,,100,,100,0
1181,8,158,yhjj914,,,100,,100,0
1181,8,159,yhjj986,,,100,,100,0
1181,8,160,yhjj974,,,100,,100,0
1181,9,161,yhjj981,,,100,,100,0
1181,9,162,yhjj971,,,100,,100,0
1181,9,163,yhjj896,,,100,,100,0
1181,9,164,yhjj965,,,100,,100,0
1181,9,165,yhjj931,,,100,,100,0
1181,9,166,yhjj990,,,100,,100,0
1181,9,167,yhjj1012,,,100,,100,0
1181,9,168,yhjj882,,,100,,100,0
1181,9,169,yhjj863,,,100,,100,0
1181,9,170,yhjj911,,,100,,100,0
1181,9,171,yhjj1001,,,100,,100,0
1181,9,172,yhjj1010,,,100,,100,0
1181,9,173,yhjj884,,,100,,100,0
1181,9,174,yhjj891,,,100,,100,0
1181,9,175,yhjj937,,,100,,100,0
1181,9,176,yhjj948,,,100,,100,0
1181,9,177,yhjj997,,,100,,100,0
1181,9,178,yhjj950,,,100,,100,0
1181,9,179,yhjj1014,,,100,,100,0
1181,9,180,yhjj952,,,100,,100,0
1181,10,181,yhjj929,,,100,,100,0
1181,10,182,yhjj983,,,100,,100,0
1181,10,183,yhjj951,,,100,,100,0
1181,10,184,yhjj867,,,100,,100,0
1181,10,185,yhjj1018,,,100,,100,0
1181,10,186,yhjj954,,,100,,100,0
1181,10,187,yhjj936,,,100,,100,0
1181,10,188,yhjj899,,,100,,100,0
1181,10,189,yhjj966,,,100,,100,0
1181,10,190,yhjj972,,,100,,100,0
1181,10,191,yhjj947,,,100,,100,0
1181,10,192,yhjj967,,,100,,100,0
1181,10,193,yhjj893,,,100,,100,0
1181,10,194,yhjj836,,,100,,100,0
1181,10,195,yhjj989,,,100,,100,0
1181,10,196,yhjj905,,,100,,100,0
1181,10,197,yhjj940,,,100,,100,0
1181,10,198,yhjj1000,,,100,,100,0
1181,10,199,yhjj1002,,,100,,100,0
1181,10,200,yhjj1017,,,100,,100,0
